,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,position,player
52,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,596,0.0,0.0,380,0.0,0,0,0.0,22417.0,0.0,0.0,2018-05-13T14:00:00Z,13 May 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,38,0,1347,0.0,0.0,0.0,1,3,0.0,0,-18,8,26,40,True,0.0,0,,,,,,2,425
53,0,,,,0,0,0,,,0.0,,,425,,,16,,0,0,0.0,,0.0,,2023-08-19T19:00:00Z,,,,0,,,13,0,,0,0,,0,2,0,15809,,,,0,1,0.0,0,-1610,940,2550,45,False,,0,0.0,0.00,0.00,0.00,0.00,2,425
54,0,,,,0,0,0,,,0.0,,,425,,,29,,0,0,0.0,,0.0,,2023-08-27T15:30:00Z,,,,0,,,11,0,,0,0,,0,3,0,14220,,,,2,1,0.0,0,-1958,337,2295,45,True,,0,0.0,0.00,0.00,0.00,0.00,2,425
55,0,,,,0,0,0,,,0.0,,,425,,,33,,0,0,0.0,,0.0,,2023-09-02T16:30:00Z,,,,0,,,5,0,,0,0,,0,4,0,16053,,,,1,3,0.0,0,312,2439,2127,44,False,,0,0.0,0.00,0.00,0.00,0.00,2,425
56,0,,,,0,0,0,,,0.0,,,425,,,46,,0,0,0.0,,0.0,,2023-09-16T16:30:00Z,,,,0,,,4,0,,0,0,,0,5,0,17242,,,,0,1,0.0,0,208,2008,1800,44,True,,0,0.0,0.00,0.00,0.00,0.00,2,425
57,0,,,,0,0,0,,,0.0,,,425,,,60,,0,0,0.0,,0.0,,2023-09-24T15:30:00Z,,,,0,,,17,0,,0,0,,0,6,0,17165,,,,8,0,0.0,0,-339,892,1231,44,False,,0,0.0,0.00,0.00,0.00,0.00,2,425
58,0,,,,0,0,0,,,0.0,,,425,,,66,,0,0,0.0,,0.0,,2023-09-30T14:00:00Z,,,,0,,,6,0,,0,0,,0,7,0,17030,,,,0,2,0.0,0,-424,1084,1508,44,True,,0,0.0,0.00,0.00,0.00,0.00,2,425
59,0,,,,0,0,0,,,0.0,,,425,,,79,,0,0,0.0,,0.0,,2023-10-08T13:00:00Z,,,,0,,,19,0,,0,0,,0,8,0,17175,,,,2,2,0.0,0,-221,1107,1328,44,False,,0,0.0,0.00,0.00,0.00,0.00,2,425
60,0,,,,0,0,0,,,0.0,,,425,,,87,,0,0,0.0,,0.0,,2023-10-21T14:00:00Z,,,,0,,,8,0,,0,0,,0,9,0,16978,,,,0,4,0.0,0,-308,673,981,44,True,,0,0.0,0.00,0.00,0.00,0.00,2,425
61,0,,,,0,0,0,,,0.0,,,425,,,100,,0,0,0.0,,0.0,,2023-10-28T16:30:00Z,,,,0,,,20,0,,0,0,,0,10,0,17156,,,,2,2,0.0,0,22,1031,1009,44,False,,0,0.0,0.00,0.00,0.00,0.00,2,425
