,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
104,104,0,,,,0,0,0,,,0.0,,,483,,,289,,0,0,0.0,,0.0,,2020-03-07T15:00:00Z,,,,0,,,16,0,,0,0,,0,29,0,566,,,,1,0,0.0,0,0,5,5,48,False,,0,,,,,,3
105,105,0,,,,0,0,0,,,0.0,,,483,,,296,,0,0,0.0,,0.0,,2020-06-21T13:00:00Z,,,,0,,,15,0,,0,0,,0,39,0,576,,,,0,3,0.0,0,-1,9,10,47,True,,0,,,,,,3
106,106,0,,,,0,0,0,,,0.0,,,483,,,306,,0,0,0.0,,0.0,,2020-06-24T17:00:00Z,,,,0,,,2,0,,0,0,,0,40,0,582,,,,1,1,0.0,0,0,4,4,47,True,,0,,,,,,3
107,107,0,,,,0,0,0,,,0.0,,,483,,,313,,0,0,0.0,,0.0,,2020-07-01T17:00:00Z,,,,0,,,3,0,,0,0,,0,41,0,580,,,,4,1,0.0,0,-2,2,4,47,False,,0,,,,,,3
108,108,0,,,,0,0,0,,,0.0,,,483,,,326,,0,0,0.0,,0.0,,2020-07-05T13:15:00Z,,,,0,,,19,0,,0,0,,0,42,0,586,,,,2,2,0.0,0,1,7,6,47,True,,0,,,,,,3
109,109,0,,,,0,0,0,,,0.0,,,483,,,337,,0,0,0.0,,0.0,,2020-07-08T17:00:00Z,,,,0,,,11,0,,0,0,,0,43,0,583,,,,0,5,0.0,0,-3,2,5,47,False,,0,,,,,,3
110,110,0,,,,0,0,0,,,0.0,,,483,,,349,,0,0,0.0,,0.0,,2020-07-11T11:30:00Z,,,,0,,,18,0,,0,0,,0,44,0,586,,,,1,2,0.0,0,2,5,3,47,False,,0,,,,,,3
111,111,0,,,,0,0,0,,,0.0,,,483,,,358,,0,0,0.0,,0.0,,2020-07-15T17:00:00Z,,,,0,,,17,0,,0,0,,0,45,0,586,,,,3,1,0.0,0,-1,6,7,47,True,,0,,,,,,3
112,112,0,,,,0,0,0,,,0.0,,,483,,,363,,0,0,0.0,,0.0,,2020-07-20T17:00:00Z,,,,0,,,4,0,,0,0,,0,46,0,591,,,,0,0,0.0,0,3,5,2,47,False,,0,,,,,,3
113,113,0,,,,0,0,0,,,0.0,,,483,,,378,,0,0,0.0,,0.0,,2020-07-26T15:00:00Z,,,,0,,,10,0,,0,0,,0,47,0,592,,,,3,1,0.0,0,3,11,8,47,True,,0,,,,,,3
